reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2024-02-01,2.02,1.93,0.09,4.6632
2023-11-02,1.46,1.39,0.07,5.036
2023-08-03,1.26,1.19,0.07,5.8824
2023-05-04,1.52,1.43,0.09,6.2937
2023-02-02,1.88,1.94,-0.06,-3.0928
2022-10-27,1.29,1.27,0.02,1.5748
2022-07-28,1.2,1.16,0.04,3.4483
2022-04-28,1.52,1.43,0.09,6.2937
2022-01-27,2.1,1.89,0.21,11.1111
2021-10-28,1.24,1.24,0.0,0.0
2021-07-27,1.3,1.01,0.29,28.7129
2021-04-28,1.4,0.99,0.41,41.4141
2021-01-27,1.68,1.41,0.27,19.1489
2020-10-29,0.73,0.7,0.03,4.2857
2020-07-30,0.65,0.51,0.14,27.451
2020-04-30,0.64,0.56,0.08,14.2857
2020-01-28,1.25,1.14,0.11,9.6491
2019-10-30,0.76,0.71,0.05,7.0423
2019-07-30,0.55,0.53,0.02,3.7736
2019-04-30,0.62,0.59,0.03,5.0847
2019-01-29,1.05,1.04,0.01,0.9615
2018-11-01,0.73,0.7,0.03,4.2857
2018-07-31,0.585,0.545,0.04,7.3394
2018-05-01,0.6825,0.6725,0.01,1.487
2018-02-01,0.9725,0.965,0.0075,0.7772
2017-11-02,0.5175,0.4675,0.05,10.6952
2017-08-01,0.4175,0.3925,0.025,6.3694
2017-05-02,0.525,0.505,0.02,3.9604
2017-01-31,0.84,0.8025,0.0375,4.6729
2016-10-25,0.4175,0.415,0.0025,0.6024
2016-07-26,0.355,0.345,0.01,2.8986
2016-04-26,0.475,0.5,-0.025,-5.0
2016-01-26,0.82,0.8075,0.0125,1.548
2015-10-27,0.49,0.47,0.02,4.2553
2015-07-21,0.4625,0.4525,0.01,2.2099
2015-04-27,0.5825,0.54,0.0425,7.8704
2015-01-27,0.765,0.65,0.115,17.6923
2014-10-20,0.355,0.3275,0.0275,8.3969
2014-07-22,0.32,0.3075,0.0125,4.065
2014-04-23,0.415,0.365,0.05,13.6986
2014-01-27,0.5175,0.5025,0.015,2.9851
2013-10-28,0.295,0.285,0.01,3.5088
2013-07-23,0.2675,0.2625,0.005,1.9048
2013-04-23,0.36,0.3575,0.0025,0.6993
2013-01-23,0.4925,0.48,0.0125,2.6042
2012-10-25,0.31,0.3125,-0.0025,-0.8
2012-07-24,0.3325,0.37,-0.0375,-10.1351
2012-04-24,0.44,0.3575,0.0825,23.0769
2012-01-24,0.495,0.3625,0.1325,36.5517
2011-10-18,0.2525,0.265,-0.0125,-4.717
2011-07-19,0.2775,0.2075,0.07,33.7349
2011-04-20,0.2275,0.1925,0.035,18.1818
2011-01-18,0.23,0.1925,0.0375,19.4805
2010-10-18,0.165,0.145,0.02,13.7931
2010-07-20,0.125,0.11,0.015,13.6364
2010-04-20,0.12,0.0875,0.0325,37.1429
2010-01-25,0.13,0.075,0.055,73.3333
2009-10-19,0.065,0.05,0.015,30.0
2009-07-21,0.0475,0.0425,0.005,11.7647
2009-04-22,0.0475,0.04,0.0075,18.75
2009-01-21,0.0625,0.05,0.0125,25.0
2008-10-21,0.045,0.04,0.005,12.5
2008-07-21,0.0425,0.0375,0.005,13.3333
2008-04-23,0.0425,0.0375,0.005,13.3333
2008-01-22,0.06,0.06,0.0,0.0
2007-10-22,0.04,0.03,0.01,33.3333
2007-07-25,0.03,0.03,0.0,0.0
2007-04-25,0.03,0.02,0.01,50.0
2007-01-17,0.04,0.03,0.01,33.3333
2006-10-18,0.02,0.02,0.0,0.0
2006-07-19,0.02,0.02,0.0,0.0
2006-04-19,0.02,0.02,0.0,0.0
2006-01-18,0.02,0.02,0.0,0.0
2005-10-11,0.01,0.01,0.0,0.0
2005-07-13,0.01,0.01,0.0,0.0
2005-04-13,0.01,0.01,0.0,0.0
2005-01-12,0.01,0.01,0.0,0.0
2004-10-13,0.02,0.01,0.01,100.0
2004-07-14,0.01,0.01,0.0,0.0
2004-04-14,0.01,0.01,0.0,0.0
2004-01-14,0.01,0.01,0.0,0.0
2003-10-15,0.01,,,
2003-07-16,0.0009,,,
2003-04-16,0.0007,,,
2003-01-15,-0.0004,,,
2002-10-16,-0.0022,,,
2002-07-16,0.01,0.01,0.0,0.0
2002-04-18,0.002,,,
2002-01-16,0.01,0.01,0.0,0.0
2001-10-18,0.0034,,,
2001-07-18,0.003,,,
2001-04-18,0.01,,,
2000-12-31,-0.0097,,,
2000-10-18,0.01,0.01,0.0,0.0
2000-07-18,0.01,0.01,0.0,0.0
2000-04-19,0.01,0.01,0.0,0.0
2000-01-19,0.01,0.01,0.0,0.0
1999-10-13,0.02,0.02,0.0,0.0
1999-07-14,0.01,0.01,0.0,0.0
1999-04-14,0.01,0.01,0.0,0.0
1999-01-13,0.01,0.01,0.0,0.0
1998-10-14,0.01,0.02,-0.01,-50.0
1998-07-15,0.01,0.01,0.0,0.0
1998-04-15,0.01,0.01,0.0,0.0
1998-01-14,0.01,0.01,0.0,0.0
1997-10-15,-0.0114,,,
1997-07-16,-0.02,-0.02,0.0,0.0
1997-04-16,-0.05,-0.04,-0.01,-25.0
1997-01-15,-0.03,-0.02,-0.01,-50.0
1996-10-16,0.0018,-0.01,0.0118,118.0
1996-07-17,-0.02,-0.04,0.02,50.0
1996-04-17,-0.07,-0.05,-0.02,-40.0
